event_id,event_date,entity_id,source_system,event_type,severity,impacted_metric,records_impacted
EVT00032,2026-02-01,ENT008,launch tracker,definition_change,Critical,collaboration_depth,57464
EVT00033,2026-02-02,ENT009,user interviews,experiment_readout,Medium,feature_readiness,3314
EVT00034,2026-02-03,ENT010,launch tracker,experiment_readout,High,feature_readiness,6735
EVT00035,2026-02-04,ENT011,launch tracker,release_review,Critical,feature_readiness,50883
EVT00036,2026-02-05,ENT012,user interviews,refresh_delay,Low,activation_rate,6689
EVT00037,2026-02-06,ENT013,customer success notes,experiment_readout,Medium,support_friction,46410
EVT00038,2026-02-07,ENT014,Jira,customer_request,Low,support_friction,53152
EVT00039,2026-02-08,ENT015,launch tracker,experiment_readout,Medium,activation_rate,45492
EVT00040,2026-02-09,ENT016,launch tracker,definition_change,Critical,activation_rate,52766
EVT00041,2026-02-10,ENT017,customer success notes,release_review,Critical,feature_readiness,1430
EVT00042,2026-02-11,ENT018,Jira,experiment_readout,Critical,repeat_creation,64818
EVT00043,2026-02-12,ENT019,product events,qa_failure,High,feature_readiness,44807
EVT00044,2026-02-13,ENT020,customer success notes,experiment_readout,Critical,repeat_creation,9446
EVT00045,2026-02-14,ENT021,launch tracker,experiment_readout,Critical,activation_rate,8518
EVT00046,2026-02-15,ENT022,launch tracker,manual_override,Medium,collaboration_depth,60884
EVT00047,2026-02-16,ENT023,launch tracker,refresh_delay,High,activation_rate,50765
EVT00048,2026-02-17,ENT024,product events,customer_request,Low,repeat_creation,20801
EVT00049,2026-02-18,ENT001,product events,experiment_readout,Critical,feature_readiness,34615
EVT00050,2026-02-19,ENT002,Jira,definition_change,Low,activation_rate,10326
EVT00051,2026-02-20,ENT003,product events,manual_override,Medium,repeat_creation,35047
EVT00052,2026-02-21,ENT004,customer success notes,refresh_delay,Critical,repeat_creation,61225
EVT00053,2026-02-22,ENT005,user interviews,experiment_readout,High,feature_readiness,33733
EVT00054,2026-02-23,ENT006,launch tracker,manual_override,Medium,support_friction,28176
EVT00055,2026-02-24,ENT007,launch tracker,customer_request,Critical,activation_rate,3565
EVT00056,2026-02-25,ENT008,launch tracker,customer_request,Critical,repeat_creation,60631
EVT00057,2026-02-26,ENT009,customer success notes,release_review,Critical,support_friction,32660
EVT00058,2026-02-27,ENT010,customer success notes,refresh_delay,Medium,support_friction,5563
EVT00059,2026-02-28,ENT011,product events,refresh_delay,High,feature_readiness,35632
EVT00060,2026-03-01,ENT012,customer success notes,refresh_delay,Low,feature_readiness,14224
EVT00061,2026-03-02,ENT013,launch tracker,qa_failure,Medium,repeat_creation,17250
EVT00062,2026-03-03,ENT014,Jira,release_review,Critical,activation_rate,55315
EVT00063,2026-03-04,ENT015,user interviews,refresh_delay,Medium,support_friction,18624
EVT00064,2026-03-05,ENT016,launch tracker,experiment_readout,Low,support_friction,37265
EVT00065,2026-03-06,ENT017,launch tracker,qa_failure,High,feature_readiness,30438
EVT00066,2026-03-07,ENT018,launch tracker,customer_request,High,activation_rate,52283
EVT00067,2026-03-08,ENT019,customer success notes,release_review,Critical,feature_readiness,49714
EVT00068,2026-03-09,ENT020,customer success notes,definition_change,Low,repeat_creation,16598
EVT00069,2026-03-10,ENT021,Jira,customer_request,High,collaboration_depth,64742
EVT00070,2026-03-11,ENT022,product events,release_review,High,feature_readiness,7487
EVT00071,2026-03-12,ENT023,Jira,qa_failure,Low,collaboration_depth,23459
EVT00072,2026-03-13,ENT024,Jira,manual_override,Critical,activation_rate,21377
EVT00073,2026-03-14,ENT001,Jira,manual_override,Low,feature_readiness,62952
EVT00074,2026-03-15,ENT002,launch tracker,manual_override,High,support_friction,42585
EVT00075,2026-03-16,ENT003,launch tracker,experiment_readout,High,feature_readiness,59034
EVT00076,2026-03-17,ENT004,user interviews,definition_change,Medium,activation_rate,52691
EVT00077,2026-03-18,ENT005,Jira,refresh_delay,High,feature_readiness,32073
EVT00078,2026-03-19,ENT006,customer success notes,manual_override,Medium,feature_readiness,46884
EVT00079,2026-03-20,ENT007,user interviews,qa_failure,Low,support_friction,58506
EVT00080,2026-03-21,ENT008,launch tracker,refresh_delay,Medium,repeat_creation,2128
EVT00081,2026-03-22,ENT009,Jira,qa_failure,Low,collaboration_depth,31960
EVT00082,2026-03-23,ENT010,user interviews,release_review,Low,repeat_creation,25030
EVT00083,2026-03-24,ENT011,launch tracker,refresh_delay,High,support_friction,17448
EVT00084,2026-03-25,ENT012,launch tracker,customer_request,High,feature_readiness,55850
EVT00085,2026-03-26,ENT013,product events,customer_request,Medium,support_friction,11215
EVT00086,2026-03-27,ENT014,product events,manual_override,High,support_friction,15571
EVT00087,2026-03-28,ENT015,launch tracker,qa_failure,Low,feature_readiness,61507
EVT00088,2026-03-29,ENT016,launch tracker,definition_change,Medium,activation_rate,42620
EVT00089,2026-03-30,ENT017,user interviews,customer_request,Low,repeat_creation,63971
EVT00090,2026-03-31,ENT018,Jira,release_review,Low,support_friction,36236
EVT00091,2026-04-01,ENT019,user interviews,experiment_readout,High,feature_readiness,43443
EVT00092,2026-04-02,ENT020,Jira,manual_override,High,repeat_creation,9064
EVT00093,2026-04-03,ENT021,product events,definition_change,High,collaboration_depth,8043
EVT00094,2026-04-04,ENT022,launch tracker,experiment_readout,Critical,feature_readiness,8204
EVT00095,2026-04-05,ENT023,product events,refresh_delay,Low,support_friction,45812
EVT00096,2026-04-06,ENT024,Jira,release_review,High,repeat_creation,33319
EVT00097,2026-04-07,ENT001,user interviews,qa_failure,Low,repeat_creation,60117
EVT00098,2026-04-08,ENT002,product events,refresh_delay,Low,support_friction,17759
EVT00099,2026-04-09,ENT003,customer success notes,qa_failure,Low,collaboration_depth,31939
EVT00100,2026-04-10,ENT004,launch tracker,experiment_readout,Low,support_friction,33409
EVT00101,2026-04-11,ENT005,launch tracker,release_review,Low,support_friction,46516
EVT00102,2026-04-12,ENT006,Jira,manual_override,High,feature_readiness,55404
EVT00103,2026-04-13,ENT007,product events,customer_request,High,feature_readiness,22839
EVT00104,2026-04-14,ENT008,Jira,qa_failure,Low,repeat_creation,18078
EVT00105,2026-04-15,ENT009,customer success notes,definition_change,High,support_friction,62269
EVT00106,2026-04-16,ENT010,product events,definition_change,Critical,feature_readiness,13173
EVT00107,2026-04-17,ENT011,Jira,definition_change,Critical,collaboration_depth,49843
EVT00108,2026-04-18,ENT012,user interviews,experiment_readout,Critical,feature_readiness,9503
EVT00109,2026-04-19,ENT013,launch tracker,definition_change,Critical,support_friction,49520
EVT00110,2026-04-20,ENT014,customer success notes,experiment_readout,High,activation_rate,22359
EVT00111,2026-04-21,ENT015,launch tracker,release_review,Medium,support_friction,58546
EVT00112,2026-04-22,ENT016,customer success notes,experiment_readout,Low,repeat_creation,53140
EVT00113,2026-04-23,ENT017,Jira,definition_change,Low,support_friction,5958
EVT00114,2026-04-24,ENT018,Jira,release_review,High,support_friction,60586
EVT00115,2026-04-25,ENT019,product events,customer_request,Low,feature_readiness,20952
EVT00116,2026-04-26,ENT020,Jira,qa_failure,High,collaboration_depth,31431
EVT00117,2026-04-27,ENT021,product events,release_review,Medium,feature_readiness,16151
EVT00118,2026-04-28,ENT022,user interviews,experiment_readout,High,collaboration_depth,47535
EVT00119,2026-04-29,ENT023,Jira,refresh_delay,Medium,repeat_creation,9093
EVT00120,2026-04-30,ENT024,product events,qa_failure,High,repeat_creation,53971
EVT00121,2026-01-01,ENT001,user interviews,refresh_delay,High,collaboration_depth,29639
EVT00122,2026-01-02,ENT002,customer success notes,customer_request,Critical,support_friction,40475
EVT00123,2026-01-03,ENT003,user interviews,customer_request,Medium,feature_readiness,64658
EVT00124,2026-01-04,ENT004,customer success notes,experiment_readout,Critical,feature_readiness,3833
EVT00125,2026-01-05,ENT005,Jira,experiment_readout,Medium,support_friction,40622
EVT00126,2026-01-06,ENT006,customer success notes,qa_failure,Low,collaboration_depth,27063
EVT00127,2026-01-07,ENT007,product events,experiment_readout,Critical,repeat_creation,40256
EVT00128,2026-01-08,ENT008,Jira,manual_override,Low,feature_readiness,19746
EVT00129,2026-01-09,ENT009,launch tracker,qa_failure,Medium,collaboration_depth,40803
EVT00130,2026-01-10,ENT010,Jira,customer_request,Low,collaboration_depth,63640
EVT00131,2026-01-11,ENT011,Jira,customer_request,High,support_friction,59017
EVT00132,2026-01-12,ENT012,Jira,manual_override,High,support_friction,6498
EVT00133,2026-01-13,ENT013,user interviews,refresh_delay,Critical,collaboration_depth,42849
EVT00134,2026-01-14,ENT014,product events,refresh_delay,Low,activation_rate,29079
EVT00135,2026-01-15,ENT015,launch tracker,experiment_readout,Medium,support_friction,46337
EVT00136,2026-01-16,ENT016,Jira,experiment_readout,High,repeat_creation,50743
EVT00137,2026-01-17,ENT017,product events,customer_request,Low,collaboration_depth,33368
EVT00138,2026-01-18,ENT018,launch tracker,customer_request,High,repeat_creation,34775
EVT00139,2026-01-19,ENT019,Jira,customer_request,Low,activation_rate,52551
EVT00140,2026-01-20,ENT020,customer success notes,refresh_delay,Low,feature_readiness,61997
EVT00141,2026-01-21,ENT021,customer success notes,qa_failure,Critical,repeat_creation,55379
EVT00142,2026-01-22,ENT022,launch tracker,definition_change,Critical,collaboration_depth,13648
EVT00143,2026-01-23,ENT023,user interviews,refresh_delay,High,repeat_creation,47752
EVT00144,2026-01-24,ENT024,customer success notes,definition_change,High,activation_rate,28665
EVT00145,2026-01-25,ENT001,Jira,manual_override,Low,activation_rate,51766
EVT00146,2026-01-26,ENT002,user interviews,refresh_delay,Low,support_friction,16049
EVT00147,2026-01-27,ENT003,customer success notes,definition_change,Low,collaboration_depth,30370
EVT00148,2026-01-28,ENT004,user interviews,definition_change,Critical,collaboration_depth,21096
EVT00149,2026-01-29,ENT005,user interviews,manual_override,Critical,repeat_creation,27068
EVT00150,2026-01-30,ENT006,launch tracker,release_review,Critical,feature_readiness,27819
EVT00151,2026-01-31,ENT007,Jira,release_review,High,feature_readiness,7910
EVT00152,2026-02-01,ENT008,product events,release_review,Medium,activation_rate,64488
EVT00153,2026-02-02,ENT009,customer success notes,definition_change,Critical,feature_readiness,61621
EVT00154,2026-02-03,ENT010,Jira,refresh_delay,High,repeat_creation,26221
EVT00155,2026-02-04,ENT011,user interviews,release_review,Critical,collaboration_depth,9213
EVT00156,2026-02-05,ENT012,launch tracker,customer_request,Medium,feature_readiness,20748
EVT00157,2026-02-06,ENT013,Jira,customer_request,High,activation_rate,53162
EVT00158,2026-02-07,ENT014,launch tracker,manual_override,Critical,feature_readiness,31125
EVT00159,2026-02-08,ENT015,customer success notes,experiment_readout,Critical,collaboration_depth,43999
EVT00160,2026-02-09,ENT016,Jira,experiment_readout,Low,feature_readiness,24473
EVT00161,2026-02-10,ENT017,user interviews,manual_override,Low,repeat_creation,51915
EVT00162,2026-02-11,ENT018,launch tracker,release_review,High,feature_readiness,54974
EVT00163,2026-02-12,ENT019,launch tracker,refresh_delay,Medium,repeat_creation,6622
EVT00164,2026-02-13,ENT020,launch tracker,release_review,High,activation_rate,20261
EVT00165,2026-02-14,ENT021,product events,release_review,Critical,collaboration_depth,57145
EVT00166,2026-02-15,ENT022,user interviews,customer_request,Medium,support_friction,1299
EVT00167,2026-02-16,ENT023,customer success notes,qa_failure,Medium,support_friction,57063
EVT00168,2026-02-17,ENT024,launch tracker,experiment_readout,Low,collaboration_depth,18620
EVT00169,2026-02-18,ENT001,product events,release_review,High,collaboration_depth,43739
EVT00170,2026-02-19,ENT002,launch tracker,definition_change,High,support_friction,32589
EVT00171,2026-02-20,ENT003,Jira,definition_change,Low,feature_readiness,14154
EVT00172,2026-02-21,ENT004,customer success notes,refresh_delay,Low,support_friction,40003
EVT00173,2026-02-22,ENT005,product events,definition_change,High,feature_readiness,28940
EVT00174,2026-02-23,ENT006,product events,refresh_delay,High,collaboration_depth,60291
EVT00175,2026-02-24,ENT007,Jira,definition_change,Critical,repeat_creation,15883
EVT00176,2026-02-25,ENT008,customer success notes,experiment_readout,Low,activation_rate,32266
EVT00177,2026-02-26,ENT009,customer success notes,release_review,Critical,feature_readiness,5651
EVT00178,2026-02-27,ENT010,Jira,refresh_delay,Medium,collaboration_depth,14843
EVT00179,2026-02-28,ENT011,customer success notes,customer_request,High,feature_readiness,39650
EVT00180,2026-03-01,ENT012,Jira,refresh_delay,Critical,repeat_creation,63053
EVT00181,2026-03-02,ENT013,product events,refresh_delay,Critical,support_friction,39756
EVT00182,2026-03-03,ENT014,Jira,experiment_readout,Low,support_friction,35808
EVT00183,2026-03-04,ENT015,Jira,manual_override,High,collaboration_depth,50003
EVT00184,2026-03-05,ENT016,product events,refresh_delay,Critical,repeat_creation,323
EVT00185,2026-03-06,ENT017,customer success notes,customer_request,High,activation_rate,501
EVT00186,2026-03-07,ENT018,launch tracker,refresh_delay,High,activation_rate,63341
EVT00187,2026-03-08,ENT019,customer success notes,experiment_readout,Low,repeat_creation,23597
EVT00188,2026-03-09,ENT020,product events,definition_change,High,collaboration_depth,54614
EVT00189,2026-03-10,ENT021,customer success notes,manual_override,Critical,support_friction,33583
EVT00190,2026-03-11,ENT022,launch tracker,release_review,High,activation_rate,17796
EVT00191,2026-03-12,ENT023,product events,definition_change,Medium,support_friction,27005
EVT00192,2026-03-13,ENT024,product events,customer_request,Low,feature_readiness,64259
EVT00193,2026-03-14,ENT001,launch tracker,refresh_delay,High,activation_rate,43936
EVT00194,2026-03-15,ENT002,product events,definition_change,Medium,support_friction,16195
EVT00195,2026-03-16,ENT003,launch tracker,definition_change,Critical,support_friction,19465
EVT00196,2026-03-17,ENT004,user interviews,refresh_delay,Critical,support_friction,34226
EVT00197,2026-03-18,ENT005,Jira,customer_request,Medium,repeat_creation,45090
EVT00198,2026-03-19,ENT006,user interviews,refresh_delay,Critical,support_friction,25564
EVT00199,2026-03-20,ENT007,Jira,refresh_delay,Low,collaboration_depth,43509
EVT00200,2026-03-21,ENT008,user interviews,release_review,Critical,support_friction,37199
EVT00201,2026-03-22,ENT009,Jira,refresh_delay,Medium,support_friction,64423
EVT00202,2026-03-23,ENT010,Jira,release_review,Critical,support_friction,58716
EVT00203,2026-03-24,ENT011,launch tracker,qa_failure,High,activation_rate,53219
EVT00204,2026-03-25,ENT012,user interviews,customer_request,Medium,feature_readiness,5840
EVT00205,2026-03-26,ENT013,product events,qa_failure,Medium,repeat_creation,64216
EVT00206,2026-03-27,ENT014,user interviews,refresh_delay,Medium,repeat_creation,20099
EVT00207,2026-03-28,ENT015,Jira,customer_request,Medium,support_friction,10570
EVT00208,2026-03-29,ENT016,product events,definition_change,Medium,collaboration_depth,26386
EVT00209,2026-03-30,ENT017,launch tracker,refresh_delay,High,repeat_creation,29774
EVT00210,2026-03-31,ENT018,Jira,refresh_delay,Critical,activation_rate,14907
EVT00211,2026-04-01,ENT019,customer success notes,experiment_readout,High,repeat_creation,51878
EVT00212,2026-04-02,ENT020,launch tracker,qa_failure,Medium,activation_rate,5658
EVT00213,2026-04-03,ENT021,Jira,qa_failure,Low,support_friction,2286
EVT00214,2026-04-04,ENT022,customer success notes,release_review,Low,collaboration_depth,1651
EVT00215,2026-04-05,ENT023,user interviews,experiment_readout,High,collaboration_depth,22848
EVT00216,2026-04-06,ENT024,launch tracker,release_review,Critical,support_friction,3868
EVT00217,2026-04-07,ENT001,user interviews,refresh_delay,Critical,activation_rate,45242
EVT00218,2026-04-08,ENT002,product events,release_review,Medium,support_friction,23734
EVT00219,2026-04-09,ENT003,product events,customer_request,Medium,support_friction,36021
EVT00220,2026-04-10,ENT004,product events,refresh_delay,Critical,activation_rate,7848
EVT00221,2026-04-11,ENT005,customer success notes,definition_change,Critical,feature_readiness,19551
EVT00222,2026-04-12,ENT006,Jira,qa_failure,High,support_friction,62656
EVT00223,2026-04-13,ENT007,product events,manual_override,Critical,collaboration_depth,17106
EVT00224,2026-04-14,ENT008,user interviews,experiment_readout,Medium,collaboration_depth,14746
EVT00225,2026-04-15,ENT009,launch tracker,qa_failure,Medium,collaboration_depth,33341
EVT00226,2026-04-16,ENT010,customer success notes,manual_override,Low,activation_rate,1184
EVT00227,2026-04-17,ENT011,Jira,release_review,Critical,repeat_creation,56468
EVT00228,2026-04-18,ENT012,customer success notes,customer_request,Low,activation_rate,12994
EVT00229,2026-04-19,ENT013,product events,experiment_readout,Critical,support_friction,44605
EVT00230,2026-04-20,ENT014,launch tracker,refresh_delay,Low,collaboration_depth,6131
EVT00231,2026-04-21,ENT015,launch tracker,definition_change,High,activation_rate,19547
EVT00232,2026-04-22,ENT016,user interviews,release_review,Low,collaboration_depth,48366
EVT00233,2026-04-23,ENT017,product events,release_review,High,collaboration_depth,34991
EVT00234,2026-04-24,ENT018,Jira,definition_change,Critical,activation_rate,32264
EVT00235,2026-04-25,ENT019,launch tracker,qa_failure,High,activation_rate,5065
EVT00236,2026-04-26,ENT020,user interviews,refresh_delay,Critical,repeat_creation,59388
EVT00237,2026-04-27,ENT021,product events,manual_override,Low,feature_readiness,45066
EVT00238,2026-04-28,ENT022,launch tracker,release_review,Critical,activation_rate,23981
EVT00239,2026-04-29,ENT023,launch tracker,release_review,Low,collaboration_depth,7358
EVT00240,2026-04-30,ENT024,Jira,experiment_readout,High,activation_rate,27278
EVT00241,2026-01-01,ENT001,user interviews,manual_override,Low,activation_rate,27411
EVT00242,2026-01-02,ENT002,launch tracker,release_review,Medium,repeat_creation,3620
EVT00243,2026-01-03,ENT003,user interviews,release_review,Medium,repeat_creation,14301
EVT00244,2026-01-04,ENT004,product events,release_review,Critical,activation_rate,27221
EVT00245,2026-01-05,ENT005,customer success notes,refresh_delay,Medium,feature_readiness,9940
EVT00246,2026-01-06,ENT006,customer success notes,refresh_delay,High,activation_rate,31130
EVT00247,2026-01-07,ENT007,launch tracker,manual_override,Medium,support_friction,34227
EVT00248,2026-01-08,ENT008,customer success notes,experiment_readout,Critical,activation_rate,43915
EVT00249,2026-01-09,ENT009,user interviews,manual_override,Low,repeat_creation,38458
EVT00250,2026-01-10,ENT010,user interviews,experiment_readout,Critical,activation_rate,36153
EVT00251,2026-01-11,ENT011,product events,refresh_delay,Medium,support_friction,16321
EVT00252,2026-01-12,ENT012,customer success notes,release_review,Medium,activation_rate,15359
EVT00253,2026-01-13,ENT013,product events,definition_change,Critical,feature_readiness,33506
EVT00254,2026-01-14,ENT014,launch tracker,release_review,High,feature_readiness,59558
EVT00255,2026-01-15,ENT015,launch tracker,customer_request,High,repeat_creation,35027
EVT00256,2026-01-16,ENT016,product events,release_review,Low,collaboration_depth,308
EVT00257,2026-01-17,ENT017,launch tracker,experiment_readout,Critical,support_friction,37618
EVT00258,2026-01-18,ENT018,customer success notes,qa_failure,Critical,repeat_creation,28285
EVT00259,2026-01-19,ENT019,launch tracker,definition_change,High,activation_rate,20717
EVT00260,2026-01-20,ENT020,user interviews,manual_override,Medium,repeat_creation,56192
EVT00261,2026-01-21,ENT021,customer success notes,experiment_readout,Low,collaboration_depth,45894
EVT00262,2026-01-22,ENT022,user interviews,customer_request,Low,activation_rate,22895
EVT00263,2026-01-23,ENT023,launch tracker,qa_failure,Medium,repeat_creation,24429
EVT00264,2026-01-24,ENT024,customer success notes,manual_override,Critical,activation_rate,15326
EVT00265,2026-01-25,ENT001,Jira,definition_change,Critical,activation_rate,58464
EVT00266,2026-01-26,ENT002,user interviews,manual_override,Medium,activation_rate,64217
EVT00267,2026-01-27,ENT003,customer success notes,manual_override,Medium,support_friction,6533
EVT00268,2026-01-28,ENT004,Jira,qa_failure,High,activation_rate,13217
EVT00269,2026-01-29,ENT005,user interviews,release_review,Critical,repeat_creation,35044
EVT00270,2026-01-30,ENT006,customer success notes,qa_failure,Medium,support_friction,21122
EVT00271,2026-01-31,ENT007,launch tracker,refresh_delay,Critical,repeat_creation,39664
EVT00272,2026-02-01,ENT008,customer success notes,definition_change,High,activation_rate,40025
EVT00273,2026-02-02,ENT009,product events,qa_failure,Low,support_friction,32802
EVT00274,2026-02-03,ENT010,Jira,release_review,Low,support_friction,62782
EVT00275,2026-02-04,ENT011,user interviews,qa_failure,Low,support_friction,13253
EVT00276,2026-02-05,ENT012,launch tracker,release_review,Critical,feature_readiness,51225
EVT00277,2026-02-06,ENT013,product events,qa_failure,Critical,feature_readiness,45309
EVT00278,2026-02-07,ENT014,launch tracker,release_review,Critical,repeat_creation,15813
EVT00279,2026-02-08,ENT015,user interviews,experiment_readout,Medium,repeat_creation,22376
EVT00280,2026-02-09,ENT016,customer success notes,qa_failure,Low,collaboration_depth,45596
EVT00281,2026-02-10,ENT017,Jira,manual_override,Low,feature_readiness,51193
EVT00282,2026-02-11,ENT018,customer success notes,experiment_readout,Medium,activation_rate,31377
EVT00283,2026-02-12,ENT019,launch tracker,definition_change,Medium,repeat_creation,40934
EVT00284,2026-02-13,ENT020,customer success notes,qa_failure,Low,support_friction,54692
EVT00285,2026-02-14,ENT021,user interviews,definition_change,Low,support_friction,17681
EVT00286,2026-02-15,ENT022,Jira,release_review,Low,collaboration_depth,45501
EVT00287,2026-02-16,ENT023,customer success notes,release_review,Medium,activation_rate,29412
EVT00288,2026-02-17,ENT024,customer success notes,release_review,Low,feature_readiness,4202
EVT00289,2026-02-18,ENT001,user interviews,experiment_readout,Critical,activation_rate,10296
EVT00290,2026-02-19,ENT002,customer success notes,experiment_readout,Low,repeat_creation,15336
EVT00291,2026-02-20,ENT003,launch tracker,release_review,Low,repeat_creation,19358
EVT00292,2026-02-21,ENT004,Jira,release_review,Medium,feature_readiness,8624
EVT00293,2026-02-22,ENT005,user interviews,experiment_readout,Low,repeat_creation,56421
EVT00294,2026-02-23,ENT006,Jira,experiment_readout,High,activation_rate,6511
EVT00295,2026-02-24,ENT007,customer success notes,customer_request,High,feature_readiness,57816
EVT00296,2026-02-25,ENT008,product events,release_review,Medium,repeat_creation,52555
EVT00297,2026-02-26,ENT009,launch tracker,release_review,Low,repeat_creation,11469
EVT00298,2026-02-27,ENT010,customer success notes,qa_failure,Low,collaboration_depth,2617
EVT00299,2026-02-28,ENT011,launch tracker,definition_change,High,collaboration_depth,41165
EVT00300,2026-03-01,ENT012,Jira,refresh_delay,High,feature_readiness,42338
EVT00301,2026-03-02,ENT013,launch tracker,definition_change,Critical,feature_readiness,17503
EVT00302,2026-03-03,ENT014,Jira,experiment_readout,Low,support_friction,38875
EVT00303,2026-03-04,ENT015,user interviews,customer_request,High,feature_readiness,3846
EVT00304,2026-03-05,ENT016,launch tracker,release_review,High,feature_readiness,58544
EVT00305,2026-03-06,ENT017,launch tracker,release_review,Low,support_friction,16226
EVT00306,2026-03-07,ENT018,Jira,manual_override,Low,repeat_creation,43731
EVT00307,2026-03-08,ENT019,product events,refresh_delay,Critical,collaboration_depth,14257
EVT00308,2026-03-09,ENT020,launch tracker,refresh_delay,Low,activation_rate,6232
EVT00309,2026-03-10,ENT021,user interviews,refresh_delay,Low,collaboration_depth,43266
EVT00310,2026-03-11,ENT022,user interviews,manual_override,Low,collaboration_depth,22903
EVT00311,2026-03-12,ENT023,Jira,experiment_readout,Medium,feature_readiness,15889
EVT00312,2026-03-13,ENT024,Jira,refresh_delay,High,feature_readiness,20342
EVT00313,2026-03-14,ENT001,customer success notes,manual_override,Medium,support_friction,58040
EVT00314,2026-03-15,ENT002,user interviews,manual_override,Medium,collaboration_depth,2120
EVT00315,2026-03-16,ENT003,customer success notes,manual_override,Medium,support_friction,32994
EVT00316,2026-03-17,ENT004,customer success notes,release_review,Critical,support_friction,11006
EVT00317,2026-03-18,ENT005,customer success notes,qa_failure,Medium,support_friction,29033
EVT00318,2026-03-19,ENT006,Jira,refresh_delay,High,collaboration_depth,5710
EVT00319,2026-03-20,ENT007,customer success notes,qa_failure,Critical,collaboration_depth,6771
EVT00320,2026-03-21,ENT008,launch tracker,release_review,Critical,feature_readiness,63491
EVT00321,2026-03-22,ENT009,launch tracker,manual_override,Critical,feature_readiness,35870
EVT00322,2026-03-23,ENT010,launch tracker,customer_request,Low,collaboration_depth,39567
EVT00323,2026-03-24,ENT011,customer success notes,definition_change,Critical,support_friction,38725
EVT00324,2026-03-25,ENT012,customer success notes,manual_override,Critical,activation_rate,45047
EVT00325,2026-03-26,ENT013,product events,manual_override,Medium,support_friction,35933
EVT00326,2026-03-27,ENT014,product events,experiment_readout,Critical,repeat_creation,63269
EVT00327,2026-03-28,ENT015,customer success notes,customer_request,Medium,activation_rate,14797
EVT00328,2026-03-29,ENT016,customer success notes,release_review,Critical,collaboration_depth,35949
EVT00329,2026-03-30,ENT017,Jira,release_review,Low,activation_rate,64032
EVT00330,2026-03-31,ENT018,customer success notes,customer_request,High,repeat_creation,17332
EVT00331,2026-04-01,ENT019,Jira,refresh_delay,Medium,feature_readiness,4179
EVT00332,2026-04-02,ENT020,launch tracker,release_review,Medium,activation_rate,34446
EVT00333,2026-04-03,ENT021,customer success notes,manual_override,Low,collaboration_depth,25540
EVT00334,2026-04-04,ENT022,customer success notes,qa_failure,High,activation_rate,52821
EVT00335,2026-04-05,ENT023,launch tracker,refresh_delay,High,activation_rate,49057
EVT00336,2026-04-06,ENT024,customer success notes,experiment_readout,High,feature_readiness,609
EVT00337,2026-04-07,ENT001,user interviews,release_review,Critical,feature_readiness,13956
